"Civic Tech Organization",Investor1,"Investor Type","Investment Type","Investment Date2","Investment Round - Total Funding3","Individual Investor Funding (if disclosed)","Investment Round"
"Accela, Inc.","Bregal Sagemount",Financial,"Private Investment",2013/10/04,43160000,,"Accela, Inc. Private Investment"
"Accela, Inc.",Overall,NA,"Private Investment",2013/10/04,43160000,43160000,"Accela, Inc. Private Investment"
"Airbnb, Inc.","Andreessen Horowitz Fund",Financial,"Private Investment",2011/06/01,118620696,60000000,"Airbnb, Inc. Series B"
"Airbnb, Inc.","Digital Sky Technologies Limited",Financial,"Private Investment",2011/06/01,118620696,,"Airbnb, Inc. Series B"
"Airbnb, Inc.","General Catalyst Partners, LLC",Financial,"Private Investment",2011/06/01,118620696,,"Airbnb, Inc. Series B"
"Airbnb, Inc.","Jeff Bezos",Person,"Private Investment",2011/06/01,118620696,,"Airbnb, Inc. Series B"
"Airbnb, Inc.",Overall,NA,"Private Investment",2011/06/01,118620696,118620696,"Airbnb, Inc. Series B"
"Airbnb, Inc.","Axel Springer AG",Corporate,"Private Investment",2012/02/02,,,"Airbnb, Inc. Middle Round"
"Airbnb, Inc.",Overall,NA,"Private Investment",2012/02/02,,,"Airbnb, Inc. Middle Round"
"Amicus FTW Inc.","David Rose",Person,"Private Investment",2012/03/22,580000,,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.","Esther Dyson",Person,"Private Investment",2012/03/22,580000,,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.","NYC Seed",Financial,"Private Investment",2012/03/22,580000,,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.",Overall,NA,"Private Investment",2012/03/22,580000,580000,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.","Quotidian Ventures",Financial,"Private Investment",2012/03/22,580000,,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.","RRE Ventures LLC",Financial,"Private Investment",2012/03/22,580000,,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.","Tabreez Verjee",Person,"Private Investment",2012/03/22,580000,,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.",Overall,NA,"Private Investment",2012/06/01,14000,14000,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.","Y Combinator, LLC",Financial,"Private Investment",2012/06/01,14000,,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.",Overall,NA,"Private Investment",2012/08/21,150000,150000,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.","Start Fund LLC",Financial,"Private Investment",2012/08/21,150000,,"Amicus FTW Inc. Seed Investment"
"Amicus FTW Inc.","500 Startups",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","Alexis Ohanian",Person,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","Andreessen Horowitz Fund",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","Esther Dyson",Person,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
"Amicus FTW Inc.","Founders Fund, LLC",Financial,"Private Investment",2012/10/30,5435662,,"Amicus FTW Inc. Private Investment"
