HACKATHON> show-unicode-characters :all

ARROWS

2190 : ←   #\LEFTWARDS_ARROW
2191 : ↑   #\UPWARDS_ARROW
2192 : →   #\RIGHTWARDS_ARROW
2193 : ↓   #\DOWNWARDS_ARROW
2194 : ↔   #\LEFT_RIGHT_ARROW
2195 : ↕   #\UP_DOWN_ARROW
2196 : ↖   #\NORTH_WEST_ARROW
2197 : ↗   #\NORTH_EAST_ARROW
2198 : ↘   #\SOUTH_EAST_ARROW
2199 : ↙   #\SOUTH_WEST_ARROW
219A : ↚   #\LEFTWARDS_ARROW_WITH_STROKE
219B : ↛   #\RIGHTWARDS_ARROW_WITH_STROKE
219C : ↜   #\LEFTWARDS_WAVE_ARROW
219D : ↝   #\RIGHTWARDS_WAVE_ARROW
219E : ↞   #\LEFTWARDS_TWO_HEADED_ARROW
219F : ↟   #\UPWARDS_TWO_HEADED_ARROW
21A0 : ↠   #\RIGHTWARDS_TWO_HEADED_ARROW
21A1 : ↡   #\DOWNWARDS_TWO_HEADED_ARROW
21A2 : ↢   #\LEFTWARDS_ARROW_WITH_TAIL
21A3 : ↣   #\RIGHTWARDS_ARROW_WITH_TAIL
21A4 : ↤   #\LEFTWARDS_ARROW_FROM_BAR
21A5 : ↥   #\UPWARDS_ARROW_FROM_BAR
21A6 : ↦   #\RIGHTWARDS_ARROW_FROM_BAR
21A7 : ↧   #\DOWNWARDS_ARROW_FROM_BAR
21A8 : ↨   #\UP_DOWN_ARROW_WITH_BASE
21A9 : ↩   #\LEFTWARDS_ARROW_WITH_HOOK
21AA : ↪   #\RIGHTWARDS_ARROW_WITH_HOOK
21AB : ↫   #\LEFTWARDS_ARROW_WITH_LOOP
21AC : ↬   #\RIGHTWARDS_ARROW_WITH_LOOP
21AD : ↭   #\LEFT_RIGHT_WAVE_ARROW
21AE : ↮   #\LEFT_RIGHT_ARROW_WITH_STROKE
21AF : ↯   #\DOWNWARDS_ZIGZAG_ARROW
21B0 : ↰   #\UPWARDS_ARROW_WITH_TIP_LEFTWARDS
21B1 : ↱   #\UPWARDS_ARROW_WITH_TIP_RIGHTWARDS
21B2 : ↲   #\DOWNWARDS_ARROW_WITH_TIP_LEFTWARDS
21B3 : ↳   #\DOWNWARDS_ARROW_WITH_TIP_RIGHTWARDS
21B4 : ↴   #\RIGHTWARDS_ARROW_WITH_CORNER_DOWNWARDS
21B5 : ↵   #\DOWNWARDS_ARROW_WITH_CORNER_LEFTWARDS
21B6 : ↶   #\ANTICLOCKWISE_TOP_SEMICIRCLE_ARROW
21B7 : ↷   #\CLOCKWISE_TOP_SEMICIRCLE_ARROW
21B8 : ↸   #\NORTH_WEST_ARROW_TO_LONG_BAR
21B9 : ↹   #\LEFTWARDS_ARROW_TO_BAR_OVER_RIGHTWARDS_ARROW_TO_BAR
21BA : ↺   #\ANTICLOCKWISE_OPEN_CIRCLE_ARROW
21BB : ↻   #\CLOCKWISE_OPEN_CIRCLE_ARROW
21BC : ↼   #\LEFTWARDS_HARPOON_WITH_BARB_UPWARDS
21BD : ↽   #\LEFTWARDS_HARPOON_WITH_BARB_DOWNWARDS
21BE : ↾   #\UPWARDS_HARPOON_WITH_BARB_RIGHTWARDS
21BF : ↿   #\UPWARDS_HARPOON_WITH_BARB_LEFTWARDS
21C0 : ⇀   #\RIGHTWARDS_HARPOON_WITH_BARB_UPWARDS
21C1 : ⇁   #\RIGHTWARDS_HARPOON_WITH_BARB_DOWNWARDS
21C2 : ⇂   #\DOWNWARDS_HARPOON_WITH_BARB_RIGHTWARDS
21C3 : ⇃   #\DOWNWARDS_HARPOON_WITH_BARB_LEFTWARDS
21C4 : ⇄   #\RIGHTWARDS_ARROW_OVER_LEFTWARDS_ARROW
21C5 : ⇅   #\UPWARDS_ARROW_LEFTWARDS_OF_DOWNWARDS_ARROW
21C6 : ⇆   #\LEFTWARDS_ARROW_OVER_RIGHTWARDS_ARROW
21C7 : ⇇   #\LEFTWARDS_PAIRED_ARROWS
21C8 : ⇈   #\UPWARDS_PAIRED_ARROWS
21C9 : ⇉   #\RIGHTWARDS_PAIRED_ARROWS
21CA : ⇊   #\DOWNWARDS_PAIRED_ARROWS
21CB : ⇋   #\LEFTWARDS_HARPOON_OVER_RIGHTWARDS_HARPOON
21CC : ⇌   #\RIGHTWARDS_HARPOON_OVER_LEFTWARDS_HARPOON
21CD : ⇍   #\LEFTWARDS_DOUBLE_ARROW_WITH_STROKE
